-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.8        |
|    ep_rew_mean          | -977        |
| time/                   |             |
|    fps                  | 2824        |
|    iterations           | 2           |
|    time_elapsed         | 14          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.009007523 |
|    clip_fraction        | 0.098       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | -0.000752   |
|    learning_rate        | 0.0003      |
|    loss                 | 8.07e+04    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0131     |
|    std                  | 1           |
|    value_loss           | 1.95e+05    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 91.8         |
|    ep_rew_mean          | -962         |
| time/                   |              |
|    fps                  | 2458         |
|    iterations           | 3            |
|    time_elapsed         | 24           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0066867108 |
|    clip_fraction        | 0.0814       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 1.55e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 4.25e+04     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0116      |
|    std                  | 1            |
|    value_loss           | 1.03e+05     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | -926        |
| time/                   |             |
|    fps                  | 2320        |
|    iterations           | 4           |
|    time_elapsed         | 35          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.007772529 |
|    clip_fraction        | 0.0872      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | 4.17e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.46e+04    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0103     |
|    std                  | 1.01        |
|    value_loss           | 5.5e+04     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 257          |
|    ep_rew_mean          | -893         |
| time/                   |              |
|    fps                  | 2245         |
|    iterations           | 5            |
|    time_elapsed         | 45           |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0047566555 |
|    clip_fraction        | 0.0538       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.0128       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.58e+04     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00907     |
|    std                  | 1            |
|    value_loss           | 2.88e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 418          |
|    ep_rew_mean          | -826         |
| time/                   |              |
|    fps                  | 2191         |
|    iterations           | 6            |
|    time_elapsed         | 56           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0061689755 |
|    clip_fraction        | 0.0598       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.0735       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.39e+03     |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00694     |
|    std                  | 0.968        |
|    value_loss           | 1.43e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 578         |
|    ep_rew_mean          | -759        |
| time/                   |             |
|    fps                  | 2164        |
|    iterations           | 7           |
|    time_elapsed         | 66          |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.004655022 |
|    clip_fraction        | 0.0512      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.116       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.06e+03    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0045     |
|    std                  | 0.947       |
|    value_loss           | 6.31e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 697         |
|    ep_rew_mean          | -709        |
| time/                   |             |
|    fps                  | 2145        |
|    iterations           | 8           |
|    time_elapsed         | 76          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.005359252 |
|    clip_fraction        | 0.0568      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.262       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.61e+03    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00559    |
|    std                  | 0.929       |
|    value_loss           | 6.05e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 853          |
|    ep_rew_mean          | -642         |
| time/                   |              |
|    fps                  | 2132         |
|    iterations           | 9            |
|    time_elapsed         | 86           |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0057937414 |
|    clip_fraction        | 0.0632       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.452        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.92e+03     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00367     |
|    std                  | 0.898        |
|    value_loss           | 3.82e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 966          |
|    ep_rew_mean          | -593         |
| time/                   |              |
|    fps                  | 2122         |
|    iterations           | 10           |
|    time_elapsed         | 96           |
|    total_timesteps      | 204800       |
| train/                  |              |
|    approx_kl            | 0.0047085914 |
|    clip_fraction        | 0.0571       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | 0.443        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.69e+03     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00443     |
|    std                  | 0.886        |
|    value_loss           | 4.63e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.07e+03     |
|    ep_rew_mean          | -546         |
| time/                   |              |
|    fps                  | 2111         |
|    iterations           | 11           |
|    time_elapsed         | 106          |
|    total_timesteps      | 225280       |
| train/                  |              |
|    approx_kl            | 0.0061014043 |
|    clip_fraction        | 0.0613       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.28        |
|    explained_variance   | 0.565        |
|    learning_rate        | 0.0003       |
|    loss                 | 165          |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00362     |
|    std                  | 0.857        |
|    value_loss           | 2.6e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.18e+03     |
|    ep_rew_mean          | -498         |
| time/                   |              |
|    fps                  | 2101         |
|    iterations           | 12           |
|    time_elapsed         | 116          |
|    total_timesteps      | 245760       |
| train/                  |              |
|    approx_kl            | 0.0055947914 |
|    clip_fraction        | 0.0567       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.701        |
|    learning_rate        | 0.0003       |
|    loss                 | 75.7         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00125     |
|    std                  | 0.837        |
|    value_loss           | 2.27e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.28e+03     |
|    ep_rew_mean          | -450         |
| time/                   |              |
|    fps                  | 2097         |
|    iterations           | 13           |
|    time_elapsed         | 126          |
|    total_timesteps      | 266240       |
| train/                  |              |
|    approx_kl            | 0.0056063356 |
|    clip_fraction        | 0.0509       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.812        |
|    learning_rate        | 0.0003       |
|    loss                 | 62.5         |
|    n_updates            | 120          |
|    policy_gradient_loss | 0.000441     |
|    std                  | 0.832        |
|    value_loss           | 1.83e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.37e+03    |
|    ep_rew_mean          | -408        |
| time/                   |             |
|    fps                  | 2093        |
|    iterations           | 14          |
|    time_elapsed         | 136         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.004988981 |
|    clip_fraction        | 0.0514      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | 147         |
|    n_updates            | 130         |
|    policy_gradient_loss | 5.8e-05     |
|    std                  | 0.821       |
